COMPANY_NAME,COUNTRY,REGION,TIER,TOTAL_REVENUE,TOTAL_PROFIT,AVG_ROAS,AVG_CONVERSION_RATE,AVG_OPPORTUNITY_SCORE
Pepsi,Mexico,North America,High,19264216.0781250009369,6517045.54260000012002,0.2623102530966669,0.1793621775340239,0.2831532432474158
Coca-Cola,Mexico,North America,High,20278122.1875000010627,7083745.15499999998307,0.3586681599733839,0.1322412602774116,0.2622819137269133
Pepsi,Canada,North America,High,17123747.6249999999010,6256363.72089599993500,0.0614198520129910,0.1761301056874370,0.2590395345278843
Red Bull,Germany,Europe,High,14600247.9750000009025,6788589.10687499964024,0.0376235070498657,0.1738005381566844,0.2514431647708429
Red Bull,Brazil,South America,High,15184257.8940000012870,7060132.67114999995890,0.0412438588165856,0.1678573248407643,0.2493585467675869
Coca-Cola,Belgium,Europe,High,14275798.0200000022283,5194746.44700000038967,0.0703831029767681,0.1751168807589306,0.2487572117570738
Red Bull,France,Europe,High,14600247.9750000009025,6788589.10687499964024,0.0529141823336375,0.1672840919806555,0.2482468837433738
Pepsi,New Zealand,Oceania,Medium,10845040.1624999999987,4127462.17698000003982,0.1599646117772812,0.1766713125390493,0.2477365049165301
Pepsi,England,Europe,High,15411372.8625000008017,5430871.28550000018656,0.0959205258666584,0.1637740844241800,0.2475168210459400
Red Bull,Argentina,South America,High,13518748.1250000002827,6788589.10687499964024,0.0314847417077720,0.1686896506678568,0.2457740600446387
